collectionday,propnum,nextwaste,nextrecycle,nextgreen,address
Friday 2,2039281,27-07-2018,27-07-2018,,227 Errard Street South BALLARAT CENTRAL  VIC  3350
Tuesday 2,2039282,31-07-2018,07-08-2018,,2/12 Exeter Street LAKE WENDOUREE  VIC  3350
Wednesday 2,2039284,01-08-2018,08-08-2018,01-08-2018,6 Pinewood Drive BALLARAT NORTH  VIC  3350
Thursday 2,2039285,26-07-2018,26-07-2018,02-08-2018,124 Finlay Street BROWN HILL  VIC  3350
Wednesday 1,2039287,01-08-2018,01-08-2018,08-08-2018,6 Sheoak Drive BUNINYONG  VIC  3357
Thursday 2,2039288,26-07-2018,26-07-2018,,2/206 Victoria Street BALLARAT EAST  VIC  3350
Thursday 2,2039289,26-07-2018,26-07-2018,,3/206 Victoria Street BALLARAT EAST  VIC  3350
Monday 1,2039293,30-07-2018,30-07-2018,06-08-2018,52 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039294,30-07-2018,30-07-2018,06-08-2018,10 Twyford Avenue LAKE GARDENS  VIC  3355
Monday 1,2039295,30-07-2018,30-07-2018,06-08-2018,9 Faversham Avenue LAKE GARDENS  VIC  3355
Monday 1,2039297,30-07-2018,30-07-2018,06-08-2018,3 St Glens Way LAKE GARDENS  VIC  3355
Tuesday 1,2039299,31-07-2018,31-07-2018,07-08-2018,10 Argyle Crescent ALFREDTON  VIC  3350
Wednesday 1,2039301,01-08-2018,01-08-2018,08-08-2018,54 Darriwell Drive MOUNT HELEN  VIC  3350
Wednesday 1,2039302,01-08-2018,01-08-2018,08-08-2018,904 Lal Lal Street BUNINYONG  VIC  3357
Friday 2,2039303,27-07-2018,27-07-2018,03-08-2018,1 Lonsdale Street REDAN  VIC  3350
Thursday 1,2039304,26-07-2018,02-08-2018,26-07-2018,5 Altieri Place BALLARAT EAST  VIC  3350
Tuesday 1,2039306,31-07-2018,31-07-2018,07-08-2018,18 Stewart Street NEWINGTON  VIC  3350
Tuesday 1,2039308,31-07-2018,31-07-2018,07-08-2018,7 Ashbourne Court ALFREDTON  VIC  3350
Thursday 1,2039310,26-07-2018,02-08-2018,,102 Eureka Street BALLARAT EAST  VIC  3350
Tuesday 2,2039311,31-07-2018,07-08-2018,,2/503 Lydiard Street North SOLDIERS HILL  VIC  3350
Tuesday 2,2039313,31-07-2018,07-08-2018,,4/503 Lydiard Street North SOLDIERS HILL  VIC  3350
Tuesday 2,2039314,31-07-2018,07-08-2018,31-07-2018,1 Stanley Street BALLARAT NORTH  VIC  3350
Wednesday 2,2039316,01-08-2018,08-08-2018,01-08-2018,6 Atrium Drive BALLARAT NORTH  VIC  3350
Thursday 1,2039325,26-07-2018,02-08-2018,26-07-2018,322 Rodier Street BALLARAT EAST  VIC  3350
Thursday 2,2039327,26-07-2018,26-07-2018,02-08-2018,2A Otway Street North BALLARAT EAST  VIC  3350
Tuesday 2,2039335,31-07-2018,07-08-2018,31-07-2018,3 Mill Street BALLARAT CENTRAL  VIC  3350
Friday 1,2039337,27-07-2018,03-08-2018,,101A Smythes Road DELACOMBE  VIC  3356
Thursday 2,2039339,26-07-2018,26-07-2018,02-08-2018,8 Bells Lane BROWN HILL  VIC  3350
Tuesday 1,2039340,31-07-2018,31-07-2018,07-08-2018,10 Ashbourne Court ALFREDTON  VIC  3350
Tuesday 1,2039341,31-07-2018,31-07-2018,07-08-2018,4 Ashbourne Court ALFREDTON  VIC  3350
Wednesday 2,2039342,01-08-2018,08-08-2018,01-08-2018,158 Bogong Avenue INVERMAY PARK  VIC  3350
Tuesday 2,2039343,31-07-2018,07-08-2018,,3/12 Exeter Street LAKE WENDOUREE  VIC  3350
Wednesday 2,2039344,01-08-2018,08-08-2018,01-08-2018,34 Kerry Way INVERMAY PARK  VIC  3350
Tuesday 1,2039345,31-07-2018,31-07-2018,07-08-2018,6 Ashbourne Court ALFREDTON  VIC  3350
Monday 1,2039346,30-07-2018,30-07-2018,06-08-2018,11 St Glens Way LAKE GARDENS  VIC  3355
Monday 1,2039347,30-07-2018,30-07-2018,06-08-2018,12 St Glens Way LAKE GARDENS  VIC  3355
Tuesday 1,2039348,31-07-2018,31-07-2018,07-08-2018,178 Cuthberts Road ALFREDTON  VIC  3350
Wednesday 1,2039352,01-08-2018,01-08-2018,,CA 72A Midland Highway BUNINYONG  VIC  3357
Saturday 2,2039357,28-07-2018,28-07-2018,,211 Swinglers Road INVERMAY  VIC  3352
Monday 2,2039360,30-07-2018,06-08-2018,,12 Bo Peep Road BURRUMBEET  VIC  3352
